BSC1st Year 2021-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Detail,,,,,Physics,,,,Mathematics,,,Chemistry,,,,Computer Science,,,,Psychology,,,Defence Studies,,,Statistics,,,Anthropology,,,Biochemistry,,,,Botany,,,,Zoology,,,,Geography,,,Geology,,,
2204001,G2110201,43,43,Failed,0,0,2,5,0,0,0,0,3,3,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204002,G2110202,19,19,Failed,AA,AA,AA,AA,0,2,6,--,--,--,--,11,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204003,G2110203,188,188,Elig/SE,--,--,--,--,--,--,--,11,16,10,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13,12,3,13,20,15,8,27,--,--,--,--,--,--,--
2204004,G2110204,148,148,Failed,--,--,--,--,--,--,--,3,6,4,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12,12,15,12,20,6,4,20,--,--,--,--,--,--,--
2204007,G2110207,230,230,Passed,--,--,--,--,--,--,--,19,11,8,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16,16,17,20,25,20,15,28,--,--,--,--,--,--,--
2204008,G2110208,196,196,Passed,--,--,--,--,--,--,--,18,6,10,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17,2,15,14,21,16,15,24,--,--,--,--,--,--,--
2204009,G2110209,161,161,Elig/SE,18,8,13,17,03,07,17,18,19,9,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204010,G2110210,142,142,Failed,--,--,--,--,--,--,--,12,11,7,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5,1,9,9,19,10,8,19,--,--,--,--,--,--,--
2204011,G2110211,15,15,Failed,0,0,4,AA,0,0,10,1,AA,0,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204012,G2110212,220,220,Passed,19,12,17,22,18,13,31,--,--,--,--,10,21,22,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204013,G2110213,247,247,Passed,--,--,--,--,--,--,--,26,16,11,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,20,24,19,19,16,24,19,--,--,--,--,--,--,--
2204014,G2110214,AA,AA,Absent,--,--,--,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--
2204015,G2110215,153,153,Failed,--,--,--,--,--,--,--,1,7,1,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15,3,11,17,17,12,11,23,--,--,--,--,--,--,--
2204016,G2110216,226,226,Passed,23,11,16,30,10,18,26,20,21,11,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204017,G2110217,66,66,Failed,0,0,6,6,0,1,6,4,5,0,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204018,G2110218,188,188,Elig/SE,20,2,17,31,02,21,11,--,--,--,--,15,20,20,29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204019,G2110219,105,105,Failed,--,--,--,--,--,--,--,1,0,3,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12,0,12,17,2,4,3,21,--,--,--,--,--,--,--
2204020,G2110220,100,100,Failed,1,0,4,17,02,04,04,--,--,--,--,14,14,9,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204021,G2110221,AA,AA,Absent,--,--,--,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--
2204022,G2110222,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204023,G2110223,127,127,Failed,9,4,8,17,04,17,06,22,5,3,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204201,D2110001,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204202,D2110002,252,252,Passed,24,15,23,32,20,18,18,--,--,--,--,23,20,24,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204203,D2110003,70,70,Failed,0,0,AA,28,11,02,01,--,--,--,--,--,--,--,--,--,--,--,9,19,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204204,D2110004,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204205,D2110005,241,241,Passed,19,7,23,34,11,20,38,--,--,--,--,17,24,19,29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204206,D2110006,181,181,Failed,14,2,7,33,10,13,15,--,--,--,--,--,--,--,--,--,--,--,17,34,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204207,D2110007,214,214,Passed,19,7,22,35,09,18,23,--,--,--,--,15,20,15,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204208,D2110008,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204209,D2110009,111,111,Failed,6,1,8,35,0,0,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,08,12,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204210,D2110010,312,312,Passed,22,25,21,33,44,34,32,--,--,--,--,--,--,--,--,--,--,--,34,32,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204211,D2110011,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204212,D2110012,274,274,Passed,25,19,16,23,28,43,19,--,--,--,--,--,--,--,--,--,--,--,31,34,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204213,D2110013,157,157,Failed,9,8,6,33,02,03,17,--,--,--,--,--,--,--,--,--,--,--,19,31,29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204214,D2110014,213,213,Passed,15,18,15,28,14,9,22,--,--,--,--,--,--,--,--,--,--,--,17,39,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204215,D2110015,209,209,Elig/SE,15,11,14,31,06,19,12,--,--,--,--,--,--,--,--,--,--,--,27,39,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204216,D2110016,154,154,Failed,15,5,6,30,0,11,17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18,17,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204217,D2110017,118,118,Failed,10,5,9,29,0,4,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,06,17,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204218,D2110018,139,139,Failed,8,1,5,30,02,02,10,--,--,--,--,--,--,--,--,--,--,--,20,31,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204219,D2110019,206,206,Elig/SE,23,19,9,32,04,22,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,25,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204220,D2110020,193,193,Elig/SE,20,8,13,18,13,11,17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,35,20,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204221,D2110021,143,143,Failed,14,8,7,33,01,05,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,07,17,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204222,D2110022,183,183,Elig/SE,16,6,15,33,01,12,18,--,--,--,--,16,21,15,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204223,D2110023,94,94,Failed,AA,AA,AA,27,07,11,08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204224,D2110024,168,168,Failed,8,1,11,33,01,10,06,--,--,--,--,--,--,--,--,--,--,--,26,36,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204225,D2110025,226,226,Elig/SE,7,12,21,37,05,13,25,--,--,--,--,--,--,--,--,--,--,--,31,37,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204226,D2110026,334,334,Passed,25,18,26,36,45,28,50,--,--,--,--,--,--,--,--,--,--,--,33,37,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204227,D2110027,140,140,Failed,3,6,8,35,0,4,18,--,--,--,--,--,--,--,--,--,--,--,30/06/30 0:00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204228,D2110028,254,254,Passed,23,18,20,34,17,16,36,--,--,--,--,--,--,--,--,--,--,--,17,39,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204229,D2110029,183,183,Elig/SE,11,7,16,32,04,09,15,--,--,--,--,--,--,--,--,--,--,--,21,37,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204230,D2110030,152,152,Failed,5,5,14,32,03,15,00,--,--,--,--,15,20,13,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204231,D2110031,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204232,D2110032,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204233,D2110033,247,247,Passed,18,19,16,33,09,21,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,32,25,44,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204234,D2110034,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204235,D2110035,164,164,Failed,4,7,17,35,0,10,6,--,--,--,--,20,22,10,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204236,D2110036,136,136,Failed,6,4,7,34,0,5,1,--,--,--,--,--,--,--,--,--,--,--,17,35,27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204237,D2110037,253,253,Passed,22,18,20,34,23,22,27,--,--,--,--,--,--,--,--,--,--,--,23,28,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204238,D2110038,224,224,Passed,21,14,20,17,17,21,24,--,--,--,--,21,23,15,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204239,D2110039,97,97,Failed,0,0,2,29,0,4,0,--,--,--,--,6,14,11,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204240,D2110040,217,217,Passed,11,11,17,31,17,16,25,--,--,--,--,21,19,17,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204241,D2110041,305,305,Passed,24,21,24,35,32,26,41,--,--,--,--,--,--,--,--,--,--,--,32,42,28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204242,D2110042,166,166,Elig/SE,7,11,15,31,02,08,04,--,--,--,--,16,26,14,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204243,D2110043,160,160,Failed,4,4,18,34,01,10,02,--,--,--,--,23,25,12,27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204244,D2110044,172,172,Failed,18,17,13,8,09,13,17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20,18,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204245,D2110045,261,261,Passed,19,14,28,37,18,19,22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,37,21,46,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204246,D2110046,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204247,D2110047,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204248,D2110048,33,33,Failed,AA,AA,AA,33,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204249,D2110049,208,208,Passed,13,11,10,31,17,13,29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,22,23,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204250,D2110050,282,282,Passed,17,15,22,35,21,26,43,--,--,--,--,26,26,16,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204251,D2110051,120,120,Failed,1,1,14,17,07,04,03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17,17,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204252,D2110052,184,184,Failed,5,6,21,33,04,10,28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17,24,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204253,D2110053,197,197,Elig/SE,6,4,13,32,20,26,12,--,--,--,--,17,25,9,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204254,D2110054,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204255,D2110055,292,292,Passed,24,12,26,31,35,32,37,--,--,--,--,--,--,--,--,--,--,--,23,37,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204256,D2110056,140,140,Failed,11,3,8,31,07,04,08,--,--,--,--,12,13,14,29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204257,D2110057,268,268,Passed,20,14,18,32,38,27,28,--,--,--,--,--,--,--,--,--,--,--,22,33,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204258,D2110058,114,114,Failed,11,0,9,17,0,5,3,--,--,--,--,8,19,12,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204259,D2110059,218,218,Passed,22,13,16,34,03,23,21,--,--,--,--,--,--,--,--,--,--,--,24,29,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204260,D2110060,199,199,Elig/SE,22,9,12,29,02,13,23,--,--,--,--,18,21,15,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204261,D2110061,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204262,D2110062,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204263,D2110063,238,238,Passed,20,11,15,33,10,28,27,--,--,--,--,--,--,--,--,--,--,--,25,36,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204264,D2110064,316,316,Passed,24,2,27,36,41,31,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,43,32,42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204265,D2110065,291,291,Passed,24,15,29,37,20,39,30,--,--,--,--,21,24,19,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204266,D2110066,271,271,Passed,27,13,23,32,17,26,26,--,--,--,--,--,--,--,--,--,--,--,33,37,37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204267,D2110067,211,211,Elig/SE,24,13,22,33,03,18,23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17,21,37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204268,D2110068,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204269,D2110069,170,170,Failed,16,6,17,27,07,15,20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,08,20,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204270,D2110070,206,206,Elig/SE,20,14,15,34,02,11,12,--,--,--,--,20,25,22,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204271,D2110071,269,269,Passed,24,19,21,23,32,24,28,--,--,--,--,--,--,--,--,--,--,--,26,38,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204272,D2110072,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204273,D2110073,45,45,Failed,8,0,7,21,0,0,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,6,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204274,D2110074,286,286,Passed,22,21,25,33,30,24,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,38,18,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204275,D2110075,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204276,D2110076,133,133,Elig/SE,8,14,11,18,0,3,5,--,--,--,--,--,--,--,--,--,--,--,19,36,19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204277,D2110077,197,197,Elig/SE,22,7,18,35,12,13,28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,06,17,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204278,D2110078,155,155,Elig/SE,14,5,15,31,05,08,04,--,--,--,--,10,17,13,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204279,D2110079,177,177,Failed,14,16,14,35,10,03,20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19,11,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204280,D2110080,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204281,D2110081,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204282,D2110082,258,258,Passed,19,17,19,35,25,28,24,--,--,--,--,19,24,16,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204283,D2110083,136,136,Failed,14,12,18,28,0,2,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,07,18,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204284,D2110084,236,236,Passed,20,16,18,40,08,15,23,--,--,--,--,--,--,--,--,--,--,--,25,36,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204285,D2110085,194,194,Elig/SE,18,17,14,38,06,09,13,--,--,--,--,15,21,13,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204286,D2110086,199,199,Elig/SE,14,20,15,38,07,18,17,--,--,--,--,--,--,--,--,--,--,--,17,26,27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204287,D2110087,245,245,Passed,22,13,24,40,20,16,17,--,--,--,--,20,22,16,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204288,D2110088,214,214,Passed,19,9,19,30,19,10,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,17,43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204289,D2110089,284,284,Passed,26,18,22,40,41,17,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,20,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204290,D2110090,223,223,Elig/SE,17,15,18,38,01,07,26,--,--,--,--,--,--,--,--,--,--,--,24,38,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204291,D2110091,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204292,D2110092,232,232,Passed,13,11,17,39,35,23,8,--,--,--,--,--,--,--,--,--,--,--,22,31,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204293,D2110093,189,189,Elig/SE,13,17,14,30,18,13,14,--,--,--,--,15,20,8,27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204294,D2110094,121,121,Failed,9,14,7,25,1,0,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,07,18,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204295,D2110095,116,116,Failed,9,13,11,23,0,3,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,01,18,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204296,D2110096,233,233,Passed,17,12,15,38,17,23,12,--,--,--,--,19,27,20,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204297,D2110097,284,284,Passed,23,17,23,39,31,25,29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,32,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204298,D2110098,189,189,Passed,9,17,18,18,23,8,18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,21,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204299,D2110099,224,224,Elig/SE,17,19,14,35,18,13,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26,32,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204300,D2110100,204,204,Elig/SE,16,13,18,37,04,15,06,--,--,--,--,--,--,--,--,--,--,--,23,36,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204301,D2110101,171,171,Elig/SE,5,15,14,28,0,17,7,--,--,--,--,--,--,--,--,--,--,--,22,39,24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2204302,D2110102,253,253,Passed,17,18,24,44,19,17,12,--,--,--,--,20,27,22,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
